<http://www.yso.fi/onto/yso/p3706>	walking (motion)
<http://www.yso.fi/onto/yso/p649>	moving
<http://www.yso.fi/onto/yso/p2771>	outdoor recreation
<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p14074>	living environment
<http://www.yso.fi/onto/yso/p6033>	environment
<http://www.yso.fi/onto/yso/p656>	obstacles (phenomena)
<http://www.yso.fi/onto/yso/p4813>	obstacles (inanimate objects)
<http://www.yso.fi/onto/yso/p12300>	home ranges
<http://www.yso.fi/onto/yso/p1797>	residence
